ToolID	type	stackSize	price	EN	FR	DE	ES	BR	CN	JP	RU
											
axe1	tool	1		Axe{desc}Great for chopping down trees and collecting wood.	Hache{desc}Pratique pour abattre les arbres et collecter du bois.	Axt{desc}Ideal, um damit Bäume zu fällen und Holz zu sammeln.	Hacha{desc}Perfecta para talar árboles y recoger madera.	Machado{desc}Ótimo para derrubar árvores e coletar madeira.	斧头{desc}砍树和收集木头的绝佳工具。	オノ{desc}木を切って木材を集めるのにピッタリ。	Топор{desc}Отлично подходит для рубки деревьев и сбора древесины.
axe2	tool	1		Reinforced Axe{desc}Takes fewer swings to chop down trees.	Hache renforcée{desc}Nécessite moins de coups pour abattre les arbres.	Verstärkte Axt{desc}Braucht weniger Schläge, um Bäume zu fällen.	Hacha reforzada{desc}Tala los árboles con menos golpes.	Machado Reforçado{desc}Derruba árvores com menos golpes.	强力斧{desc}砍树效率更高。	強化オノ{desc}少ない回数で木を切れる。	Улучшенный топор{desc}Требует меньше ударов для срубания деревьев.
axe3	tool	1		Greater Axe{desc}Takes fewer swings to chop down trees.	Hache supérieure{desc}Nécessite moins de coups pour abattre les arbres.	Große Axt{desc}Braucht weniger Schläge, um Bäume zu fällen.	Hacha superior{desc}Tala los árboles con menos golpes.	Machado Melhorado{desc}Derruba árvores com menos golpes.	大型斧{desc}砍树效率更高。	立派なオノ{desc}少ない回数で木を切れる。	Превосходный топор{desc}Требует меньше ударов для срубания деревьев.
axe4	tool	1		Moonstone Axe{desc}Takes fewer swings to chop down trees.	Hache en pierre de lune{desc}Nécessite moins de coups pour abattre les arbres.	Mondsteinaxt{desc}Braucht weniger Schläge, um Bäume zu fällen.	Hacha de piedra lunar{desc}Tala los árboles con menos golpes.	Machado de Selenita{desc}Derruba árvores com menos golpes.	月石斧{desc}砍树效率更高。	ムーンストーンのオノ{desc}少ない回数で木を切れる。	Лунный топор{desc}Требует меньше ударов для срубания деревьев.
hammer1	tool	1		Hammer{desc}Smashes rocks into collectible-sized pieces.	Marteau{desc}Détruit les rochers pour en faire de petits morceaux.	Hammer{desc}Zerkleinert Felsen in sammelbare Stücke.	Martillo{desc}Hace las piedras añicos y las convierte en piezas coleccionables.	Marreta{desc}Quebra rochas em um tamanho coletável.	锤子{desc}击碎石头，获得可收集的小石块。	ハンマー{desc}岩を砕いて集められる大きさにする。	Молот{desc}Разбивает камни на куски подходящего размера.
hammer2	tool	1		Reinforced Hammer{desc}Takes fewer swings to destroy rocks.	Marteau renforcé{desc}Nécessite moins de coups pour détruire les rochers.	Verstärkter Hammer{desc}Braucht weniger Schläge, um Felsen zu zerkleinern.	Martillo reforzado{desc}Destruye las rocas con menos golpes.	Marreta Reforçada{desc}Esmaga rochas com menos golpes.	强力锤{desc}击碎石头效率更高。	強化ハンマー{desc}少ない回数で岩を壊せる。	Улучшенный молот{desc}Требует меньше ударов для разрушения камней.
hammer3	tool	1		Greater Hammer{desc}Takes fewer swings to destroy rocks.	Marteau supérieur{desc}Nécessite moins de coups pour détruire les rochers.	Großer Hammer{desc}Braucht weniger Schläge, um Felsen zu zerkleinern.	Martillo superior{desc}Destruye las rocas con menos golpes.	Marreta Melhorada{desc}Esmaga rochas com menos golpes.	大型锤{desc}击碎石头效率更高。	立派なハンマー{desc}少ない回数で岩を壊せる。	Превосходный молот{desc}Требует меньше ударов для разрушения камней.
hammer4	tool	1		Moonstone Hammer{desc}Takes fewer swings to destroy rocks.	Marteau en pierre de lune{desc}Nécessite moins de coups pour détruire les rochers.	Mondsteinhammer{desc}Braucht weniger Schläge, um Felsen zu zerkleinern.	Martillo de piedra lunar{desc}Destruye las rocas con menos golpes.	Marreta de Selenita{desc}Esmaga rochas com menos golpes.	月石锤{desc}击碎石头效率更高。	ムーンストーンのハンマー{desc}少ない回数で岩を壊せる。	Лунный молот{desc}Требует меньше ударов для разрушения камней.
hoe1	tool	1		Hoe{desc}Digs holes that are the perfect size for seeds and digging up treasure.	Pioche{desc}Permet de creuser des trous parfaits pour y planter des graines et pour déterrer des trésors.	Hacke{desc}Hackt Löcher in den Boden, in die du Samen pflanzen kannst, und gräbt Schätze aus.	Azada{desc}Cava hoyos en la tierra perfectos para plantar semillas y desenterrar tesoros.	Enxada{desc}Cava buracos no tamanho ideal para sementes e desenterra tesouros.	锄头{desc}挖出大小合适的洞来种下种子，亦可用于挖宝藏。	クワ{desc}種を植えるのにピッタリなサイズの穴を掘ったり、宝物を掘り出せる。	Мотыга{desc}Копает лунки идеального размера для высаживания семян и поиска сокровищ.
hoe2	tool	1		Reinforced Hoe{desc}Digs two holes in a line. You can toggle between hoe patterns.	Pioche renforcée{desc}Permet de creuser deux trous sur la même ligne. Tu peux changer de mode de creusage.	Verstärkte Hacke{desc}Hackt zwei Löcher in einer Reihe. Du kannst zwischen Mustern wechseln.	Azada reforzada{desc}Cava dos hoyos seguidos. Alterna entre los diferentes patrones de azada y escoge cuántos hoyos quieres cavar.	Enxada Reforçada{desc}Cava dois buracos em uma linha. Você pode alternar entre os padrões de enxada.	强力锄{desc}连挖两个并排的洞。可切换洞的模式。	強化クワ{desc}1列に2つの穴を掘る。パターンの切り替え可能。	Улучшенная мотыга{desc}Вскапывает две лунки в ряд. Можно переключать режимы копания.
hoe3	tool	1		Greater Hoe{desc}Digs three holes in a line. You can toggle between hoe patterns.	Pioche supérieure{desc}Permet de creuser trois trous sur la même ligne. Tu peux changer de mode de creusage.	Große Hacke{desc}Hackt drei Löcher in einer Reihe. Du kannst zwischen Mustern wechseln.	Azada superior{desc}Cava tres hoyos seguidos. Alterna entre los diferentes patrones de azada y escoge cuántos hoyos quieres cavar.	Enxada Melhorada{desc}Cava três buracos em uma linha. Você pode alternar entre os padrões de enxada.	大型锄{desc}连挖三个并排的洞。可切换洞的模式。	立派なクワ{desc}1列に3つの穴を掘る。パターンの切り替え可能。	Превосходная мотыга{desc}Вскапывает три лунки в ряд. Можно переключать режимы копания.
hoe4	tool	1		Moonstone Hoe{desc}Digs a 3x3 square. You can toggle between hoe patterns.	Pioche en pierre de lune{desc}Permet de creuser des trous dans une zone de 3x3. Tu peux changer de mode de creusage.	Mondsteinhacke{desc}Hackt 3x3 Löcher. Du kannst zwischen Mustern wechseln.	Azada de piedra lunar{desc}Cava nueve hoyos en un cuadrado de 3x3. Alterna entre los diferentes patrones de azada y escoge cuántos hoyos quieres cavar.	Enxada de Selenita{desc}Cava um quadrado de 3x3 buracos. Você pode alternar entre os padrões de enxada.	月石锄{desc}挖出 3x3 大小的方形坑洞。可切换洞的模式。	ムーンストーンのクワ{desc}3x3四方の穴を掘る。パターンの切り替え可能。	Лунная мотыга{desc}Вскапывает квадрат 3x3. Можно переключать режимы копания.
scythe1	tool	1		Scythe{desc}Can be used to cut down crops and harvest their seeds.	Faux{desc}Sert à faucher les cultures et à récolter leurs graines.	Sense{desc}Kann Pflanzen abschneiden, um ihre Samen zu ernten.	Guadaña{desc}Se usa para segar los cultivos y recoger sus semillas.	Foice{desc}Pode ser usada para cortar plantações e colher as sementes.	镰刀{desc}可用于收割作物，获取种子。	カマ{desc}作物を狩ったり種を収穫したりできる。	Коса{desc}Используется для срезания травы и сбора семян.
scythe2	tool	1		Reinforced Scythe{desc}Has a bigger radius for cutting down grass and crops.	Faux renforcée{desc}Dispose d'un plus grand rayon pour faucher l'herbe et les cultures.	Verstärkte Sense{desc}Hat einen größeren Radius, um Gras und andere Pflanzen zu abzuschneiden.	Guadaña reforzada{desc}Traza un radio más amplio al segar la hierba y los cultivos.	Foice Reforçada{desc}Tem um alcance maior para cortar grama e plantações.	强力镰{desc}挥砍半径范围更大的草丛和作物。	強化カマ{desc}草や作物を狩れる範囲が広くなる。	Улучшенная коса{desc}Имеет больший радиус срезания травы и сбора семян.
scythe3	tool	1		Greater Scythe{desc}Has a bigger radius for cutting down grass and crops.	Faux supérieure{desc}Dispose d'un plus grand rayon pour faucher l'herbe et les cultures.	Große Sense{desc}Hat einen größeren Radius, um Gras und andere Pflanzen zu abzuschneiden.	Guadaña superior{desc}Traza un radio más amplio al segar la hierba y los cultivos.	Foice Melhorada{desc}Tem um alcance maior para cortar grama e plantações.	大型镰{desc}挥砍半径范围更大的草丛和作物。	立派なカマ{desc}草や作物を狩れる範囲が広くなる。	Превосходная коса{desc}Имеет больший радиус срезания травы и сбора семян.
scythe4	tool	1		Moonstone Scythe{desc}Has a bigger radius for cutting down grass and crops.	Faux en pierre de lune{desc}Dispose d'un plus grand rayon pour faucher l'herbe et les cultures.	Mondsteinsense{desc}Hat einen größeren Radius, um Gras und andere Pflanzen zu abzuschneiden.	Guadaña de piedra lunar{desc}Traza un radio más amplio al segar la hierba y los cultivos.	Foice de Selenita{desc}Tem um alcance maior para cortar grama e plantações.	月石镰{desc}挥砍半径范围更大的草丛和作物。	ムーンストーンのカマ{desc}草や作物を狩れる範囲が広くなる。	Лунная коса{desc}Имеет больший радиус срезания травы и сбора семян.
wateringCan1	tool	1		Watering Can{desc}Great for watering seeds.	Arrosoir{desc}Pratique pour arroser les graines.	Gießkanne{desc}Ideal, um Samen zu gießen.	Regadera{desc}Perfecta para regar las semillas.	Regador{desc}Ótimo para regar sementes.	洒水壶{desc}给种子浇水的绝佳工具。	じょうろ{desc}種に水をやるのにピッタリ。	Лейка{desc}Отлично подходит для полива растений.
