Code	Day	Controls	EN	FR	DE	ES	BR	CN	JP	RU
hint1		gamepad	You can use the right thumbstick to nudge items when placing them	Tu peux utiliser le stick droit pour déplacer légèrement un objet lorsque tu le places.	Du kannst den rechten Stick benutzen, um Gegenstände leicht anzustoßen, wenn du sie platzierst.	Usa la palanca derecha para empujar los objetos cuando los coloques.	Use o direcional analógico direito para deslocar itens quando for posicioná-los.	放置物品时，可以使用右摇杆轻推物品	サムスティック（右）で、アイテム設置時にアイテムをゆっくり動かせる	Используйте правый стик, чтобы немного подвинуть предметы при их размещении.
hint2			Moonstones glow after sunset	Les pierres de lune luisent quand il fait nuit.	Mondsteine leuchten nach Sonnenuntergang.	Las piedras lunares brillan al anochecer.	As Selenitas brilham após o pôr do sol.	月石在日落后会发光	ムーンストーンは日没後に光る	Лунные камни светятся после заката.
hint3			Crafting recipes can be found in mines and dungeons	Tu peux trouver des plans dans les mines et les donjons.	Herstellungsrezepte sind in Minen und Verliesen zu finden.	Puedes encontrar diseños de fabricación en minas y mazmorras.	Receitas de criação podem ser encontradas em minas e masmorras.	制作配方可以在矿洞和地下城中找到	クラフトレシピは鉱山やダンジョンで見つかる	Схемы для крафта можно найти в шахтах и подземельях.
hint4			Some crops can be harvested multiple times without needing to replant them	Certaines cultures peuvent être récoltées plusieurs fois sans être replantées.	Manche Pflanzen können mehrfach geerntet werden, ohne erneut gesät werden zu müssen.	Algunos cultivos se pueden cosechar varias veces sin tener que volver a plantarlos.	Algumas plantações podem ser colhidas inúmeras vezes sem precisar replantá-las.	有些作物可以多次收割，无需重新种植	植え直さなくても複数回収穫できる作物もある	Некоторые растения можно собирать несколько раз за сезон, не пересаживая их.
hint5	10		Casting your fishing line further increases your chance to catch rarer fish	Plus tu lances ta ligne loin, plus tu as de chances d'attraper des poissons rares.	Je weiter du den Köder wirfst, desto größer ist deine Chance, seltene Fische zu fangen.	Cuanto más lejos lances el sedal, más probabilidades tendrás de que piquen peces poco comunes.	Lançar a sua linha de pesca mais longe aumenta a chance de pescar peixes raros.	将钓鱼线抛掷得更远会增加捕获稀有鱼类的几率	釣り糸を遠くに垂らすほど、珍しいサカナがかかる可能性が上がる	Более дальний заброс удочки увеличивает шанс поймать редкую рыбу.
hint6			You can place crops on the ground to distract Spirits that are chasing you, or to lure out Spirits when they can't be found	Tu peux placer des cultures sur le sol pour distraire les esprits qui te poursuivent ou pour en attirer lorsqu'il n'y en a pas.	Du kannst Pflanzen auf dem Boden platzieren, um Geister abzulenken, die dich verfolgen, oder um Geister hervorzulocken, wenn du sie nicht siehst.	Cultiva el suelo para distraer a los espíritus que te persiguen o para atraerlos cuando no se dejan ver.	Você pode colocar plantações no solo para distrair os Espíritos que estão te perseguindo ou para atraí-los quando não puderem ser encontrados.	可以在地上放置作物来让引开追赶你的精灵，或者在找不到精灵时用来引诱它们	作物を地面に置くと、追いかけてくる精霊の気を逸らしたり、見つからない精霊を誘き寄せたりできる	Бросьте растение на землю, чтобы отвлечь Духов, которые преследуют вас, или чтобы приманить их.
hint7	10		Spirits in the Spirit Barn will run away if not fed for several days	Les esprits quitteront l'abri s'ils ne sont pas nourris pendant plusieurs jours.	Geister in der Geisterscheune laufen davon, wenn du sie mehrere Tage lang nicht fütterst.	Los espíritus del establo escaparán si pasas varios días sin darles de comer.	Os Espíritos na Morada dos Espíritos fugirão se não forem alimentados por muitos dias.	精灵棚里的精灵如果多日得不到喂食就会逃跑	小屋にいる精霊は数日エサをやらないと逃げてしまう	Духи из Амбара убегут, если их не кормить несколько дней.
hint8			Healing pools recharge every day	Les sources régénérantes se rechargent tous les jours.	Heilquelle laden sich jeden Tag wieder auf.	Los estanques curativos se recargan todos los días.	Piscinas terapêuticas recarregam todos os dias.	治疗池每天都会重新充能	回復の泉が使えるのは1日に1回	Исцеляющие источники восстанавливаются каждый день.
hint9			Any crops you have planted outside will wilt on the first day of a new season	Les cultures plantées en extérieur se flétriront au début de chaque nouvelle saison.	Alle Pflanzen, die du im Freien gepflanzt hast, verwelken am ersten Tag einer neuen Saison.	Los cultivos que plantes fuera se marchitan el primer día tras el cambio de estación.	Toda plantação na área externa murchará no primeiro dia de uma nova estação.	在室外种植的任何作物都会在新季节到来的第一天枯萎	外に植えた作物はすべて、季節が変わると初日に枯れてしまう	Все растения, высаженные не в теплице, завянут в первый день нового сезона.
hint10			Spirits kept in a Spirit Barn will drop Spirit Resources if fed everyday	Les esprits qui logent dans l'abri donneront des ressources s'ils sont nourris tous les jours.	Geister in einer Geisterscheune erzeugen Geisterressourcen, wenn sie täglich gefüttert werden.	Los espíritus que estén en el establo soltarán recursos si les das de comer todos los días.	Os Espíritos mantidos na Morada dos Espíritos deixarão cair recursos de Espírito se alimentados todos os dias.	只要每天喂食，存放在精灵棚中的精灵将会掉落精灵资源	小屋にいる精霊は毎日エサをやれば精霊の資源を落とす	Духи, содержащиеся в Амбаре, будут давать особые Субстанции, если их регулярно кормить.
hint11			Place a Spirit egg in a nest inside a Spirit Barn to hatch it	Place un œuf d'esprit dans un nid à l'intérieur d'un abri pour le faire éclore.	Platziere ein Geisterei in einem Nest in einer Geisterscheune, damit es ausgebrütet wird.	Deja un espirihuevo en un nido dentro del establo para que eclosione.	Coloque um ovo de Espírito em um ninho dentro da Morada dos Espíritos para chocá-lo.	将精灵蛋放入精灵棚内的巢中可进行孵化	精霊のタマゴをふ化させるには小屋内の巣に置こう	Поместите яйцо Духа в гнездо внутри Амбара, и тогда из него кто-нибудь вылупится.
