Code	Objectives	EN	OBJ_EN	FR	FR_OBJ	DE	DE_OBJ	ES	ES_OBJ	BR	BR_OBJ	CN	CN_OBJ	JP	OBJ_JP	RU	RU_OBJ
tutorial1	crops;seeds;plant;water	Time to Grow{desc}The final stretch of my Alchemy training begins tonight. I'd better finish up my chores before I go.	Harvest 5 crops;Harvest seeds;Dig a hole and plant seeds;Water the seeds	Prendre son envol{desc}La dernière ligne droite de ma formation d'alchimiste commence ce soir. Je ferais mieux de finir ce que j'ai à faire avant d'y aller.	Récolter 5 cultures;Récolter les graines;Creuser un trou et y planter des graines;Arroser les graines	Kein Kind mehr{desc}Heute Abend beginnt mein letztes Alchemietraining. Ich sollte vorher noch meine Arbeit erledigen.	Ernte 5 Pflanzen;Ernte Samen;Grabe ein Loch und pflanze Samen;Bewässere die Samen	Abandonar el nido{desc}La recta final de mi formación como alquimista comienza esta noche. Será mejor que termine mis tareas antes de irme.	Cosecha 5 cultivos;Recoge semillas;Haz un agujero y planta las semillas;Riega las semillas	Hora de Cultivar{desc}A reta final do meu treinamento de Alquimista começa hoje à noite. É melhor eu terminar minhas tarefas antes de partir.	Fazer 5 colheitas;Colher sementes;Cavar um buraco e plantar sementes;Regar as sementes	该出师了{desc}今晚将开启我的魔法训练的最后阶段。我最好在出发前把我的杂务做完。	收割 5 种作物;收割种子;挖个洞并种下种子;给种子浇水	成長の時{desc}今夜から、長い錬金術の修業が始まる。出発する前に雑用を終わらせた方がよさそう。	作物を5つ収穫する;種を収穫する;穴を掘って種を植える;種に水をやる	Время пустить корни{desc}Сегодня вечером начинается последний этап моего обучения алхимии. Надо бы закончить все дела до ухода.	Собери 5 плодов; Собери семена; Выкопай лунку и посади семена; Полей семена
tutorial2	pick;win	Spirit Strength{desc}I should show Dad how good I've gotten at Spirit training so he knows I'll be safe.	Choose a spirit to take on my adventure;Banish the wild spirit in the garden	Mise à l'épreuve{desc}Je vais montrer à papa comment je me débrouille avec les esprits. Comme ça, il saura que je ne risque rien.	Choisir l'esprit qui m'accompagnera dans mon aventure;Bannir l'esprit sauvage dans le jardin	Geisterkraft{desc}Ich sollte Papa zeigen, wie gut ich mit Geistern umgehen kann, damit er weiß, dass mir nichts passieren kann.	Wähle einen Geist für mein Abenteuer;Banne den wilden Geist im Garten	Fuerza espiritual{desc}Debería enseñarle a papá lo bien que se me da entrenar a los espíritus para que sepa que no me va a pasar nada.	Escoge un espíritu para que te acompañe en tu aventura;Destierra al espíritu silvestre que hay en el jardín	Espírito Forte{desc}Preciso mostrar ao meu pai quão bem eu me saí no treinamento dos Espíritos, pra ele saber que estarei segure.	Escolher um Espírito para começar minha aventura;Banir o Espírito selvagem no jardim	精灵力量{desc}我应该向爸爸展示我在精灵相关训练上的进步，让他知道我不会有危险的。	选择一个精灵陪我冒险;驱逐花园里的野生精灵	精霊の力{desc}精霊の訓練がどれだけうまくなったかパパに見せよう。そうしたら、わたしは大丈夫だってわかる。	冒険に連れて行く精霊をえらぶ;庭にいる野生の精霊を撃退する	Сила Духа{desc}Пора показать папе, насколько я продвинулся в тренировках Духов, чтобы он не беспокоился за мою безопасность.	Выбери Дух, чтобы взять с собой; Победи дикого Духа в саду
tutorial3	eat;medallion;feed	Take Care{desc}Restore your Stamina and feed your Spirit.	Eat a Stonefruit;Open your medallion;Feed a Nimbus Plant to your spirit	Prudence est mère de sûreté{desc}Restaure ton endurance et nourris ton esprit.	Manger une caillebasse;Ouvrir ton médaillon;Donner une cotonnille à ton esprit	Fütterung{desc}Stelle deine Ausdauer wieder her und füttere deinen Geist.	Iss eine Steinfrucht;Öffne dein Medaillon;Verfüttere eine Nimbuspflanze an deinen Geist	Cuídate{desc}Recupera la resistencia y da de comer a tu espíritu.	Come una frutipiedra;Abre el medallón;Dale una planta nimbo a tu espíritu	Autocuidado{desc}Restaure a sua Resistência e alimente o seu Espírito.	Comer uma Nectarina;Abrir o seu medalhão;Alimentar o seu Espírito com uma Planta Nimbo.	休养生息{desc}恢复你的耐力并喂养你的精灵。	吃一个核果;打开你的徽章;给你的精灵喂一个灵气植	体を大事に{desc}スタミナを回復して精霊にエサをやろう。	イシノミを食べる;メダルを開く;精霊にゴコウソウを与える	Забота о себе{desc}Восстанови свою выносливость и покорми своего Духа.	Съешь Камнеплод; Открой медальон; Дай своему Духу Облачный Цветок
year_away	year	Spend a Year Away From Home{desc}To complete my Alchemy training, I have to spend a year away from home and embed myself into a community of my choosing. I guess this quest is going to stay on my to-do list for a while...	Spend a year away from home	Un an loin de chez soi{desc}Pour terminer ma formation d'alchimiste, je dois passer un an loin de chez moi et m'intégrer à la communauté de mon choix. Je pense que cette quête va rester longtemps sur ma liste...	Passer un an loin de chez soi	Verbringe ein Jahr fern von zu Hause{desc}Um mein Alchemietraining abzuschließen, muss ich weggehen, ein Jahr lang auf mich allein gestellt leben und mich einer anderen Gemeinschaft anschließen. Diese Aufgabe wird wohl noch eine ganze Weile auf meiner Liste stehen ...	Verbringe ein Jahr fern von zu Hause	Un año fuera de casa{desc}Para completar mi formación como alquimista, tengo que pasar un año fuera de casa e integrarme en la comunidad que yo elija. Creo que esta misión se va a pasar una buena temporada en la lista de tareas pendientes...	Pasa un año fuera de casa	Um ano longe de casa{desc}Para completar o meu treinamento Alquimista, preciso passar um ano longe de casa e me integrar em uma comunidade de minha escolha. Acho que essa missão ficará na minha lista de tarefas por um bom tempo...	Passar um ano longe de casa	离家一年{desc}为了完成我的魔法训练，我必须离家一年并融入我选择的社区。我估计这个任务会在我的待办事项上停留蛮久的……	离家一年	故郷と1年間のお別れ{desc}錬金術の修業を終わらせるには、1年間故郷をはなれて、自分でえらんだコミュニティに溶け込まなくちゃいけない。このクエストはしばらく、わたしのやることリストに残るだろうな…	故郷からはなれて1年を過ごす	Год вдали от дома{desc}Чтобы завершить мое обучение алхимии, я должен провести год вдали от дома, в любом месте, на мой выбор. Похоже, этот квест ещё долго будет в моем журнале...	Проведи год вдали от дома
moonstone	tent;moonstone	Settling In{desc}I should use my tools to clear a spot and set up my tent, then explore the island and see if I can find any Moonstones.^^Mom told me they glow at night, and there is usually just one stone on any given island.	Place tent;Find a Moonstone	Installation{desc}Je ferais bien d'utiliser mes outils pour aménager un endroit et y planter ma tente. Ensuite, j'explorerai l'île pour voir si j'y trouve des pierres de lune.^^Maman m'a dit qu'elles brillaient la nuit, et en principe, il n'y en a qu'une seule sur chaque île.	Planter sa tente;Trouver une pierre de lune	Einleben{desc}Ich sollte mein Werkzeug benutzen, um Platz für mein Zelt zu schaffen, und es dann aufbauen. Dann kann ich die Insel erkunden und mich nach Mondsteinen umsehen.^^Mama hat mir erzählt, dass die Steine nachts leuchten und normalerweise nur einer je Insel zu finden ist.	Platziere dein Zelt;Finde einen Mondstein	Nuevo hogar{desc}Debería usar las herramientas para limpiar una zona y montar ahí mi tienda. Luego podría explorar la isla, a ver si encuentro alguna piedra lunar.^^Mamá me dijo que brillan en la noche y que solo suele haber una por isla.	Coloca la tienda;Encuentra una piedra lunar	Acomodando-se{desc}Eu devo usar as minhas ferramentas para limpar um lugar e montar a minha barraca, e depois explorar a ilha pra ver se encontro algumas Selenitas.^^A minha mãe disse que elas brilham à noite e que geralmente só tem uma pedra em qualquer ilha.	Montar a barraca;Encontrar uma Selenita	安顿下来{desc}我应该用工具清理出一块地，搭起我的帐篷，然后探索岛屿，看看能不能找到月石。^^妈妈告诉我，它们在晚上会发光，而且通常来说，一个岛上只有一块月石。	放置帐篷;找到一块月石	定住{desc}道具を使って片付けた場所にテントを建てたら、島を探索してムーンストーンを探そう。^^ムーンストーンは夜に光るもので、普通はどの島にも1つしかないってママが言っていた。	テントを設置する;ムーンストーンを見つける	Обживайся{desc}У меня есть все нужные инструменты, чтобы очистить место и установить шатёр, а затем исследовать остров и поискать Лунные камни.^^Мама сказала, что они светятся ночью, и на каждом острове обычно бывает только один камень.	Размести шатёр; Найди Лунный камень
																	
balloon	grass;cloth:3;balloon;fly	Craft a Balloon{desc}I’d better craft a balloon so I can explore the outer islands.	Cut grass to collect fibre;Craft Cloth;Craft a balloon;Fly off island with balloon	Fabriquer un ballon{desc}Je ferais mieux de fabriquer un ballon si je veux pouvoir explorer les autres îles.	Couper de l'herbe pour obtenir de la fibre;Fabriquer du tissu;Fabriquer un ballon;Quitter l'île en ballon	Ballonbau für Anfänger{desc}Ich sollte mir einen Ballon bauen, damit ich die äußeren Inseln erkunden kann.	Schneide Gras, um Fasern zu sammeln;Stelle Stoff her;Stelle einen Ballon her;Fliege mit einem Ballon von der Insel fort	Fabrica un globo{desc}Será mejor que fabrique un globo para poder explorar las islas exteriores.	Corta la hierba para conseguir fibra;Confecciona un trapo;Fabrica un globo;Sal volando de la isla en globo	Criar um balão{desc}É melhor eu criar um balão, assim posso explorar as outras ilhas.	Cortar a grama para coletar capim;Criar tecido;Criar um balão;Sair da ilha usando o balão	制作气球{desc}我最好能制作一个气球，这样我就可以探索外岛了。	剪草以收集纤维;制作布料;制作气球;乘气球离开岛屿	風船作成{desc}風船を作ろう。そうしたら外の島を探索できる。	草を切って繊維を集める;布を作る;風船を作る;風船で島を飛び立つ	Воздушный шар{desc}Мне нужно смастерить воздушный шар, чтобы исследовать дальние острова.	Срежь траву для сбора волокна;Смастери ткань;Смастери воздушный шар;Долети до другого острова на воздушном шаре
broom	ingotMoonstone;enchanter;broom	Craft a New Broom{desc}My balloon is okay, but it's so SLOW! I’m going to need to craft a new broom.^^To start, maybe I should speak to the Blacksmith! She might know how I can make the right materials.	Craft a Moonstone ingot;Craft Moonstone Enchanter;Use it to craft a Broom	Fabriquer un nouveau balai{desc}Mon ballon est bien, mais il est tellement lent ! Je vais devoir fabriquer un nouveau balai.^^Je devrais peut-être commencer par aller voir la forgeronne. Elle sait sûrement comment on peut se procurer les matériaux nécessaires.	Fabriquer un lingot de pierre de lune;Fabriquer un enchanteur de pierres de lune;L'utiliser pour fabriquer un balai	Neue Besen kehren gut{desc}Mein Ballon ist okay, aber auch sehr LANGSAM! Ich muss mir einen neuen Besen bauen.^^Vielleicht sollte ich zuerst mit der Schmiedin reden. Sie weiß vielleicht, wie ich die richtigen Materialien herstelle.	Stelle einen Mondsteinbarren her;Stelle einen Mondsteinverzauberer her;Stelle damit einen Besen her	Fabrica una escoba nueva{desc}El globo no está mal, ¡pero es muy lento! Tendré que fabricar una escoba nueva.^^Creo que, antes de nada, debería hablar con la herrera. Quizá ella sepa cómo conseguir los materiales que necesito.	Fabrica un lingote de piedra lunar;Crea un encantador de piedra lunar;Úsalo para hacer una escoba	Criar uma vassoura nova{desc}Meu balão está funcionando, mas é muito LENTO! Vou ter que criar uma vassoura nova.^^Pra começar, talvez eu deva falar com a ferreira! Ela deve saber os materiais certos.	Criar uma Barra de Selenita;Criar um Encantador de Selenita;Usá-los para criar uma vassoura	制作新的飞天扫帚{desc}我的气球还行，但是它太慢了！我需要制作一把新的飞天扫帚。^^首先，我也许该去找铁匠问问！她也许知道我用的材料是不是正确的。	制作一块月石锭;制作月石魔法台;用月石魔法台来制作一把飞天扫帚	新しいホウキの作成{desc}風船は問題ないけれど、かなり遅い！ 新しいホウキを作らなくちゃいけなさそう。^^まず鍛冶屋さんと話してみよう！ 彼女なら正しい素材を作る方法を知っているかも。	ムーンストーンのインゴットを作る;ムーンストーンエンチャンターを作る;エンチャンターでホウキを作る	Новая метла{desc}Я люблю свой воздушный шар, но он такой медленный! Мне нужна новая метла.^^Для начала, пожалуй, надо поговорить с кузнецом! Она подскажет, как мне добыть нужные материалы.	Выплавь слиток из Лунного камня; Смастери Лунный Зачаровыватель; Используй его для создания метлы
																	
tavernkeeper_stones	crate;stones:20	Stones for Ossono{desc}Ossono asked me to sell her 20 stones by putting them in the Sell Crate. She told me not to ask why...	Craft a Sell Crate;Sell stones	Des pierres pour Ossono{desc}Ossono m'a demandé de lui vendre 20 pierres en les plaçant dans la caisse de vente. C'est un peu bizarre, mais elle m'a dit de ne pas poser de questions...	Fabriquer une caisse de vente;Vendre des pierres	Steine für Ossono{desc}Ossono hat mich gebeten, ihr 20 Steine zu verkaufen und in die Verkaufskiste zu packen. Sie hat mich gebeten, nicht nach dem Warum zu fragen ...	Stelle eine Verkaufskiste her;Verkaufe Steine	Piedras para Ossono{desc}Ossono me ha pedido que meta 20 piedras en el cofre para vendérselas y que no hiciera preguntas...	Fabrica un cofre de ventas;Vende piedras	Pedras para Ossono{desc}A Ossono me pediu para vender 20 pedras pra ela e colocar na Caixa de Vendas. Ela me disse pra não perguntar o porquê...	Criar uma Caixa de Vendas;Vender as pedras	给奥索诺石头{desc}奥索诺叫我把 20 块石头放在售物箱里卖给她。她叫我不要问为什么……	制作一个售物箱;卖石头	オソーノ用の石{desc}オソーノに出荷箱に石を20個入れてほしいと頼まれた。理由は聞くなって…	出荷箱を作る;石を売る	Щебень для Оссоно{desc}Оссоно попросила меня продать ей 20 щебня, положив их в Торговый ящик. Она отказывается признаваться, зачем ей столько...	Создай Торговый ящик;Продай щебень
