	EN	COMMENTS	FR	DE	ES	BR	CN	JP	RU
	GENERAL / CONTROL HINTS								
moonstone_island	Moonstone^Island		Île de la^Pierre de lune	Moonstone^Island	Moonstone^Island	Ilha^das Selenitas	月石^岛	Moonstone^Island	Остров Лунного Камня
loading	Loading....		Chargement...	Lädt ...	Cargando...	Carregando....	正在加载……	ロード中…	Загрузка....
save_successful	Save successful		Sauvegarde réussie	Speichern erfolgreich	Se ha guardado correctamente.	Salvo com sucesso	保存成功	セーブ完了	Сохранено успешно
dungeon_cleared	Dungeon Cleared!		Donjon terminé !	Verlies abgeschlossen!	¡Mazmorra despejada!	Masmorra concluída!	地下城已通关！	ダンジョンクリア！	Подземелье исследовано!
									
time_sun_short	Sun		Dim	So	Dom.	Dom	周日	日	Вс.
time_mon_short	Mon		Lun	Mo	Lun.	Seg	周一	月	Пн.
time_tue_short	Tue		Mar	Di	Mar.	Ter	周二	火	Вт.
time_wed_short	Wed		Mer	Mi	Miérc.	Qua	周三	水	Ср.
time_thu_short	Thu		Jeu	Do	Juev.	Qui	周四	木	Чт.
time_fri_short	Fri		Ven	Fr	Vier.	Sex	周五	金	Пт.
time_sat_short	Sat		Sam	Sa	Sáb.	Sab	周六	土	Сб.
time_sun	Sunday		Dimanche	Sonntag	Domingo	Domingo	星期日	日曜日	Воскресенье
time_mon	Monday		Lundi	Montag	Lunes	Segunda	星期一	月曜日	Понедельник
time_tue	Tuesday		Mardi	Dienstag	Martes	Terça	星期二	火曜日	Вторник
time_wed	Wednesday		Mercredi	Mittwoch	Miércoles	Quarta	星期三	水曜日	Среда
time_thu	Thursday		Jeudi	Donnerstag	Jueves	Quinta	星期四	木曜日	Четверг
time_fri	Friday		Vendredi	Freitag	Viernes	Sexta	星期五	金曜日	Пятница
time_sat	Saturday		Samedi	Samstag	Sábado	Sábado	星期六	土曜日	Суббота
time_spring	Spring		Printemps	Frühling	Primavera	Primavera	春	春	Весна
time_summer	Summer		Été	Sommer	Verano	Verão	夏	夏	Лето
time_fall	Fall		Automne	Herbst	Otoño	Outono	秋	秋	Осень
time_winter	Winter		Hiver	Winter	Invierno	Inverno	冬	冬	Зима
time_year	Year		Année	Jahr	Año	Ano	年	年	Год
									
									
currency_short	coins		pièces	Münzen	monedas	moedas	钱币	コイン	монет
									
inventory_seed_harvest	{season}: {days} days to harvest	May not be used in other languages	{season} : {days} jours avant récolte	{season}: {days} Tage bis Ernte	{season}: {days} para cosechar	{season}: {days} dias até a colheita	{season}：有 {days} 天可进行收割	{season}: {days}日で収穫	{season}: {days} дней до сбора урожая
inventory_lure	Lures equipped:		Hameçons équipés :	Köder ausgerüstet:	Cebos equipados:	Iscas equipadas:	配备鱼饵：	装備中のルアー：	Приманки активны:
inventory_contains	Contains:		Contenu :	Enthält:	Contiene:	Contém:	包含：	中身：	Содержит:
inventory_placeable_any	Can be placed on any surface.		Placement possible sur n'importe quelle surface.	Kann auf jeder Oberfläche platziert werden.	Se puede colocar en cualquier superficie.	Pode colocar em qualquer superfície.	可以放置在任何表面上。	どこにでも設置できます。	Можно разместить на любой поверхности.
inventory_placeable_walls	Can be placed on walls.		À placer sur les murs.	Kann an Wänden platziert werden.	Se puede colocar en las paredes.	Pode colocar em paredes.	可以放置在墙上。	壁に設置できます。	Можно разместить на стенах.
inventory_placeable_floor	Can be placed on the floor.		À placer au sol.	Kann auf dem Boden platziert werden.	Se puede colocar en el suelo.	Pode colocar no chão.	可以放在地板上。	床に設置できます。	Можно разместить на полу.
inventory_placeable_barn	Can be placed in the Spirit Barn.		À placer dans l'abri à esprits.	Kann in der Geisterscheune platziert werden.	Se puede colocar en el establo para espíritus.	Pode colocar na Morada dos Espíritos.	可以放置在精灵棚中。	精霊の小屋に設置できます。	Можно разместить в Амбаре.
									
